診療科,H28対応項目,メモ,H28の記載,項目,検査項目,UID,Unnamed: 3,修正提案(20220302),査読コメント(20220302),チームからの返信（原案どおりなら１、修正案に賛成なら２）,チームからのコメント（あれば）,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,臓器,分類,項目名,H28表記,項目名(202004113)作業用,項目名(20220413),"座長・副座長返答(1.医学教育課の意見を反映,2.原案ママ,3.その他)(20220411)",座長・副座長コメント(20220411),チームからの修正提案(20220317),チームからのコメント(20220317),医学教育課修正案(20220317),医学教育課からのコメント(20220317),項目名(20220302査読直前),削除項目,追加項目,査読への返答,A,B,C,D,E,F,G,H,I,カテゴリ,サブカテゴリ,疾患,修正案(20220318),コメント(20220318),重要(20220318),重複(計算列),重複のため削除する項目に●(20220408),重要度分類(スリム化チーム作業用)(20220330),診断,治療,教育,予防,作成時(20220316コメント),修正案(20220316),パフォーマンス,基本的臨床手技,目標レベル,診察項目,医学教育課修正案(20220327),医学教育課からのコメント(20220327),Unnamed: 7,検査項目(20220302査読直前),Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,主要症候,検討すべき鑑別疾患,錦織
,"D-01-03-na-01,D-01-03-na-02, D-01-03-na-03, D-01-03-na-04, D-01-03-na-05, D-01-03-na-06,",,,[別表]知識,,JlAKpWM,,,,,,,,,,,,,,,,,血液・造血器・リンパ系,症候,リンパ節腫脹,"発熱,全身倦怠感,黄疸,貧血,出血傾向,リンパ節腫脹,{not found: }",リンパ節腫脹,リンパ節腫脹,,,,,,,リンパ節腫脹,"D-01-03-na-04, D-01-03-na-05, D-01-03-na-07",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"D-01-03-na-04, D-01-03-na-05,",,,[別表]知識,,JlAKpWQ,,,,,,,,,,,,,,,,,血液・造血器・リンパ系,症候,貧血,"貧血,出血傾向,{not found: }",貧血,貧血,,,,,,,貧血,,血栓傾向,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"D-01-03-na-04, D-01-03-na-05,",,,[別表]知識,,JlAKpWU,,,,,,,,,,,,,,,,,血液・造血器・リンパ系,症候,出血傾向,"貧血,出血傾向,{not found: }",出血傾向,出血傾向,,,,,,,出血傾向,,血栓傾向,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"D-01-03-na-04, D-01-03-na-05,",,,[別表]知識,,JlAKpWY,,,,,,,,,,,,,,,,,血液・造血器・リンパ系,症候,血栓傾向,"貧血,出血傾向,{not found: }",血栓傾向,血栓傾向,,,,,,,血栓傾向,,血栓傾向,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,D-01-02-na-01,シンプルな表現に（国試ガイドp8に従う）,,[別表]知識,,JlAKpWg,,,,,,,,,,,,,,,,,血液・造血器・リンパ系,検査方法,末梢血塗抹,末梢血の血球数の基準値とその変化の意義を説明できる。,末梢血塗抹,末梢血塗抹,,,,,,,末梢血塗抹,末梢血の血球数の基準値とその変化の意義,末梢血塗抹,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,新規,,[別表]知識,,JlAKpWk,,,,,,,,,,,,,,,,,血液・造血器・リンパ系,検査方法,凝固・線溶・血小板機能検査,,凝固・線溶・血小板機能検査,凝固・線溶・血小板機能検査,,,,,,,凝固・線溶・血小板機能検査,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,D-01-02-na-02,,,[別表]知識,,JlAKpWo,,,,,,,,,,,,,,,,,血液・造血器・リンパ系,検査方法,骨髄検査（骨髄穿刺、骨髄生検）,骨髄検査（骨髄穿刺、骨髄生検）を説明できる。,骨髄検査（骨髄穿刺、骨髄生検）,骨髄検査（骨髄穿刺、骨髄生検）,,,,,,,骨髄検査（骨髄穿刺、骨髄生検）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,新規,,[別表]知識,,JlAKpWs,,,,,,,,,,,,,,,,,血液・造血器・リンパ系,検査方法,輸血関連検査,,輸血関連検査,輸血関連検査,,,,,,,輸血関連検査,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,D-01-02-na-02,血清・尿があるので検体名は削除した,,[別表]知識,,JlAKpWw,,,査読Dが保留,1.0,,,,,,,,,,,,,血液・造血器・リンパ系,検査方法,タンパク分画、免疫電気泳動,骨髄検査（骨髄穿刺、骨髄生検）を説明できる。,タンパク分画、免疫電気泳動,タンパク分画、免疫電気泳動,,,,,,,タンパク分画、免疫電気泳動,,免疫電気泳動,,,,,免疫固定法を追記,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,新規,,[別表]知識,,JlAKpW0,,,,,,,,,,,,,,,,,血液・造血器・リンパ系,検査方法,遺伝子・染色体検査,,遺伝子・染色体検査,遺伝子・染色体検査,,,,,,,遺伝子・染色体検査,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,新規,,[別表]知識,,JlAKpW4,,,,,,,,,,,,,,,,,血液・造血器・リンパ系,特異的治療法,輸血,,輸血,輸血,,,,,,,輸血,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,新規,,[別表]知識,,JlAKpW8,,,,,,,,,,,,,,,,,血液・造血器・リンパ系,特異的治療法,造血幹細胞移植,,造血幹細胞移植,造血幹細胞移植,,,,,,,造血幹細胞移植,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,D-02-01-01-01,,,[別表]知識,,JlAKpXU,,,,,,,,,,,,,,,,,神経系,構造と機能,中枢神経系と末梢神経系の構成,中枢神経系と末梢神経系の構成を概説できる。,中枢神経系と末梢神経系の構成,中枢神経系と末梢神経系の構成,,,,,,,中枢神経系と末梢神経系の構成,D-02-01-03-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,D-02-01-01-02,,,[別表]知識,,JlAKpXY,,,,,,,,,,,,,,,,,神経系,構造と機能,脳の血管支配と血液脳関門,脳の血管支配と血液脳関門を説明できる。,脳の血管支配と血液脳関門,脳の血管支配と血液脳関門,,,,,,,脳の血管支配と血液脳関門,D-02-01-04-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,D-02-01-01-03,,,[別表]知識,,JlAKpXc,,,,,,,,,,,,,,,,,神経系,構造と機能,脳のエネルギー代謝の特徴,脳のエネルギー代謝の特徴を説明できる。,脳のエネルギー代謝の特徴,脳のエネルギー代謝の特徴,,,,,,,脳のエネルギー代謝の特徴,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,D-02-01-01-04,,,[別表]知識,,JlAKpXg,,,査読Eが保留,1.0,,,,,,,,,,,,,神経系,構造と機能,主な脳内神経伝達物質（アセチルコリン・ドパミン・ノルアドレナリン）とその作用,主な脳内神経伝達物質（アセチルコリン、ドパミン、ノルアドレナリン）とその作用を説明できる。,主な脳内神経伝達物質（アセチルコリン・ドパミン・ノルアドレナリン）とその作用,主な脳内神経伝達物質（アセチルコリン・ドパミン・ノルアドレナリン）とその作用,,,,,,,主な脳内神経伝達物質（アセチルコリン・ドパミン・ノルアドレナリン）とその作用,,,,,,,,ノルアドレナリンは割愛できないか（精神科領域では重要かもしれないが）？,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,D-02-01-01-05,,,[別表]知識,,JlAKpXk,,,,,,,,,,,,,,,,,神経系,構造と機能,髄膜・脳室系の構造と脳脊髄液の産生と循環,髄膜・脳室系の構造と脳脊髄液の産生と循環を説明できる。,髄膜・脳室系の構造と脳脊髄液の産生と循環,髄膜・脳室系の構造と脳脊髄液の産生と循環,,,,,,,髄膜・脳室系の構造と脳脊髄液の産生と循環,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,D-02-01-02-01,,,[別表]知識,,JlAKpXo,,,,,,,,,,,,,,,,,神経系,構造と機能,脊髄の構造、機能局在と伝導路,脊髄の構造、機能局在と伝導路を説明できる。,脊髄の構造、機能局在と伝導路,脊髄の構造、機能局在と伝導路,,,,,,,脊髄の構造、機能局在と伝導路,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,D-02-01-02-02,,,[別表]知識,,JlAKpXs,,,,,,,,,,,,,,,,,神経系,構造と機能,脊髄反射（伸張反射、屈筋反射）と筋の相反神経支配,脊髄反射（伸張反射、屈筋反射）と筋の相反神経支配を説明できる。,脊髄反射（伸張反射、屈筋反射）と筋の相反神経支配,脊髄反射（伸張反射、屈筋反射）と筋の相反神経支配,,,,,,,脊髄反射（伸張反射、屈筋反射）と筋の相反神経支配,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,D-02-01-02-03,,,[別表]知識,,JlAKpXw,,,,,,,,,,,,,,,,,神経系,構造と機能,脊髄神経と神経叢（頸・腕・腰仙骨）の構成および主な骨格筋支配と皮膚分布（デルマトーム）,脊髄神経と神経叢（頸神経叢、腕神経叢、腰神経叢、仙骨神経叢）の構成及び主な骨格筋支配と皮膚分布（デルマトーム）を概説できる。,脊髄神経と神経叢（頸・腕・腰仙骨）の構成および主な骨格筋支配と皮膚分布（デルマトーム）,脊髄神経と神経叢（頸・腕・腰仙骨）の構成および主な骨格筋支配と皮膚分布（デルマトーム）,,,,,,,脊髄神経と神経叢（頸・腕・腰仙骨）の構成および主な骨格筋支配と皮膚分布（デルマトーム）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"D-02-01-03-01, D-02-01-03-03",,,[別表]知識,,JlAKpX0,,,,,,,,,,,,,,,,,神経系,構造と機能,脳幹の構造と機能、および伝導路,"脳幹の構造と伝導路を説明できる。,脳幹の機能を概説できる。",脳幹の構造と機能、および伝導路,脳幹の構造と機能、および伝導路,,,,,,,脳幹の構造と機能、および伝導路,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,D-02-01-03-02,,,[別表]知識,,JlAKpX4,,,,,,,,,,,,,,,,,神経系,構造と機能,脳神経の名称、核の局在、走行・分布と機能,脳神経の名称、核の局在、走行・分布と機能を概説できる。,脳神経の名称、核の局在、走行・分布と機能,脳神経の名称、核の局在、走行・分布と機能,,,,,,,脳神経の名称、核の局在、走行・分布と機能,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"D-02-01-04-01,D-02-01-04-02",,,[別表]知識,,JlAKpX8,,,,,,,,,,,,,,,,,神経系,構造と機能,大脳の構造と大脳皮質の機能局在（運動野・感覚野・言語野）,"大脳の構造を説明できる。,大脳皮質の機能局在（運動野・感覚野・言語野）を説明できる。",大脳の構造と大脳皮質の機能局在（運動野・感覚野・言語野）,大脳の構造と大脳皮質の機能局在（運動野・感覚野・言語野）,,,,,,,大脳の構造と大脳皮質の機能局在（運動野・感覚野・言語野）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,D-02-01-04-03,,,[別表]知識,,JlAKpYA,,,,,,,,,,,,,,,,,神経系,構造と機能,辺縁系の構造と記憶・学習の機序との関連,記憶、学習の機序を辺縁系の構成と関連させて概説できる。,辺縁系の構造と記憶・学習の機序との関連,辺縁系の構造と記憶・学習の機序との関連,,,,,,,辺縁系の構造と記憶・学習の機序との関連,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,D-02-01-05-01,,,[別表]知識,,JlAKpYE,,,,,,,,,,,,,,,,,神経系,構造と機能,錐体路を中心とした随意運動の発現機構,随意運動の発現機構を錐体路を中心として概説できる。,錐体路を中心とした随意運動の発現機構,錐体路を中心とした随意運動の発現機構,,,,,,,錐体路を中心とした随意運動の発現機構,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,D-02-01-05-02,,,[別表]知識,,JlAKpYI,,,,,,,,,,,,,,,,,神経系,構造と機能,小脳の構造と機能,小脳の構造と機能を概説できる。,小脳の構造と機能,小脳の構造と機能,,,,,,,小脳の構造と機能,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,D-02-01-05-03,,,[別表]知識,,JlAKpYM,,,,,,,,,,,,,,,,,神経系,構造と機能,大脳基底核（線条体・淡蒼球・黒質）の線維結合と機能,大脳基底核（線条体、淡蒼球、黒質）の線維結合と機能を概説できる。,大脳基底核（線条体・淡蒼球・黒質）の線維結合と機能,大脳基底核（線条体・淡蒼球・黒質）の線維結合と機能,,,,,,,大脳基底核（線条体・淡蒼球・黒質）の線維結合と機能,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,D-02-01-06-01,,,[別表]知識,,JlAKpYQ,,,,,,,,,,,,,,,,,神経系,構造と機能,痛覚、温度覚、触覚と深部感覚の受容機序と伝導路,痛覚、温度覚、触覚と深部感覚の受容機序と伝導路を説明できる。,痛覚、温度覚、触覚と深部感覚の受容機序と伝導路,痛覚、温度覚、触覚と深部感覚の受容機序と伝導路,,,,,,,痛覚、温度覚、触覚と深部感覚の受容機序と伝導路,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,D-02-01-06-02,,,[別表]知識,,JlAKpYU,,,,,,,,,,,,,,,,,神経系,構造と機能,視覚、聴覚・平衡覚、嗅覚、味覚の受容機序と伝導路,視覚、聴覚・平衡覚、嗅覚、味覚の受容機序と伝導路を概説できる。,視覚、聴覚・平衡覚、嗅覚、味覚の受容機序と伝導路,視覚、聴覚・平衡覚、嗅覚、味覚の受容機序と伝導路,,,,,,,視覚、聴覚・平衡覚、嗅覚、味覚の受容機序と伝導路,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,D-02-01-07-01,,,[別表]知識,,JlAKpYY,,,,,,,,,,,,,,,,,神経系,構造と機能,交感神経系と副交感神経系の中枢内局在、末梢分布、機能と伝達物質,交感神経系と副交感神経系の中枢内局在、末梢分布、機能と伝達物質を概説できる。,交感神経系と副交感神経系の中枢内局在、末梢分布、機能と伝達物質,交感神経系と副交感神経系の中枢内局在、末梢分布、機能と伝達物質,,,,,,,交感神経系と副交感神経系の中枢内局在、末梢分布、機能と伝達物質,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,D-02-01-07-02,,,[別表]知識,,JlAKpYc,,,,,,,,,,,,,,,,,神経系,構造と機能,内分泌および自律機能と関連づけた視床下部の構造と機能,視床下部の構造と機能を内分泌及び自律機能と関連付けて概説できる。,内分泌および自律機能と関連づけた視床下部の構造と機能,内分泌および自律機能と関連づけた視床下部の構造と機能,,,,,,,内分泌および自律機能と関連づけた視床下部の構造と機能,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,D-02-01-07-03,,,[別表]知識,,JlAKpYg,,,,,,,,,,,,,,,,,神経系,構造と機能,ストレス反応と本能・情動行動の発現機序,ストレス反応と本能・情動行動の発現機序を概説できる。,ストレス反応と本能・情動行動の発現機序,ストレス反応と本能・情動行動の発現機序,,,,,,,ストレス反応と本能・情動行動の発現機序,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"D-02-03-na-01, D-02-03-na-02, D-02-03-na-03, D-02-03-na-04, D-02-03-na-05",,,[別表]知識,,JlAKpYk,,,,,,,,,,,,,,,,,神経系,症候,頭痛,"けいれん,意識障害・失神,めまい,頭痛,運動麻痺・筋力低下",頭痛,頭痛,,,,,,,頭痛,,⑤運動麻痺・筋力低下、⑥歩行障害、⑦感覚障害,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"D-02-03-na-01, D-02-03-na-02, D-02-03-na-03, D-02-03-na-04, D-02-03-na-05",,,[別表]知識,,JlAKpYo,,,,,,,,,,,,,,,,,神経系,症候,めまい,"けいれん,意識障害・失神,めまい,頭痛,運動麻痺・筋力低下",めまい,めまい,,,,,,,めまい,,⑤運動麻痺・筋力低下、⑥歩行障害、⑦感覚障害,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"D-02-03-na-01, D-02-03-na-02, D-02-03-na-03, D-02-03-na-04, D-02-03-na-05",,,[別表]知識,,JlAKpYs,,,,,,,,,,,,,,,,,神経系,症候,けいれん,"けいれん,意識障害・失神,めまい,頭痛,運動麻痺・筋力低下",けいれん,けいれん,,,,,,,けいれん,,⑤運動麻痺・筋力低下、⑥歩行障害、⑦感覚障害,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"D-02-03-na-01, D-02-03-na-02, D-02-03-na-03, D-02-03-na-04, D-02-03-na-05",,,[別表]知識,,JlAKpYw,,,,,,,,,,,,,,,,,神経系,症候,意識障害,"けいれん,意識障害・失神,めまい,頭痛,運動麻痺・筋力低下",意識障害,意識障害,,,,,,,意識障害,,⑤運動麻痺・筋力低下、⑥歩行障害、⑦感覚障害,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"D-02-03-na-01, D-02-03-na-02, D-02-03-na-03, D-02-03-na-04, D-02-03-na-05",,,[別表]知識,,JlAKpY4,,,,,,,,,,,,,,,,,神経系,症候,運動麻痺・筋力低下,"けいれん,意識障害・失神,めまい,頭痛,運動麻痺・筋力低下",運動麻痺・筋力低下,運動麻痺・筋力低下,,,,,,,運動麻痺・筋力低下,,⑤運動麻痺・筋力低下、⑥歩行障害、⑦感覚障害,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"D-02-03-na-01, D-02-03-na-02, D-02-03-na-03, D-02-03-na-04, D-02-03-na-05",,,[別表]知識,,JlAKpY8,,,,,,,,,,,,,,,,,神経系,症候,歩行障害,"けいれん,意識障害・失神,めまい,頭痛,運動麻痺・筋力低下",歩行障害,歩行障害,,,,,,,歩行障害,,⑤運動麻痺・筋力低下、⑥歩行障害、⑦感覚障害,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"D-02-03-na-01, D-02-03-na-02, D-02-03-na-03, D-02-03-na-04, D-02-03-na-05",,,[別表]知識,,JlAKpZA,,,,,,,,,,,,,,,,,神経系,症候,感覚障害,"けいれん,意識障害・失神,めまい,頭痛,運動麻痺・筋力低下",感覚障害,感覚障害,,,,,,,感覚障害,,⑤運動麻痺・筋力低下、⑥歩行障害、⑦感覚障害,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"D-02-03-na-01, D-02-03-na-02, D-02-03-na-03, D-02-03-na-04, D-02-03-na-05",,,[別表]知識,,JlAKpZE,,,,,,,,,,,,,,,,,神経系,症候,認知障害,"けいれん,意識障害・失神,めまい,頭痛,運動麻痺・筋力低下",認知障害,認知障害,,,,,,,認知障害,,⑤運動麻痺・筋力低下、⑥歩行障害、⑦感覚障害,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"D-02-03-01-01, D-02-03-01-02,　D-02-03-01-03, D-02-03-03-01, D-02-03-04-02, D-02-03-04-03",,,[別表]知識,,JlAKpZI,,,査読G保留,1.0,,,,,,,,,,,,,神経系,症候,失語症・構音障害,"{not found: D-02-03-01-01},{not found:  D-02-03-01-02},{not found: 　D-02-03-01-03},歩行障害を病態に基づいて分類できる。,{not found:  D-02-03-04-02},{not found:  D-02-03-04-03}",失語症・構音障害,失語症・構音障害,,,,,,,失語症・構音障害,D-02-03-04-01,,,,,,,,,言語障害（失語症・構音障害）にするのはいかがでしょうか。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"D-02-03-01-01, D-02-03-01-02,　D-02-03-01-03, D-02-03-03-01, D-02-03-04-02, D-02-03-04-03",,,[別表]知識,,JlAKpZM,,,,,,,,,,,,,,,,,神経系,症候,振戦,"{not found: D-02-03-01-01},{not found:  D-02-03-01-02},{not found: 　D-02-03-01-03},歩行障害を病態に基づいて分類できる。,{not found:  D-02-03-04-02},{not found:  D-02-03-04-03}",振戦,振戦,,,,,,,振戦,D-02-03-04-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"D-02-03-01-01, D-02-03-01-02,　D-02-03-01-03, D-02-03-03-01, D-02-03-04-02, D-02-03-04-03",,,[別表]知識,,JlAKpZQ,,,,,,,,,,,,,,,,,神経系,症候,小脳性・前庭性・感覚性運動失調障害,"{not found: D-02-03-01-01},{not found:  D-02-03-01-02},{not found: 　D-02-03-01-03},歩行障害を病態に基づいて分類できる。,{not found:  D-02-03-04-02},{not found:  D-02-03-04-03}",小脳性・前庭性・感覚性運動失調障害,小脳性・前庭性・感覚性運動失調障害,,,,,,,小脳性・前庭性・感覚性運動失調障害,D-02-03-04-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"D-02-03-01-01, D-02-03-01-02,　D-02-03-01-03, D-02-03-03-01, D-02-03-04-02, D-02-03-04-03",,,[別表]知識,,JlAKpZU,,,,,,,,,,,,,,,,,神経系,症候,不随意運動（ミオクローヌス・舞踏運動・ジストニア・固定姿勢保持困難・アテトーシス・チック）,"{not found: D-02-03-01-01},{not found:  D-02-03-01-02},{not found: 　D-02-03-01-03},歩行障害を病態に基づいて分類できる。,{not found:  D-02-03-04-02},{not found:  D-02-03-04-03}",不随意運動（ミオクローヌス・舞踏運動・ジストニア・固定姿勢保持困難・アテトーシス・チック）,不随意運動（ミオクローヌス・舞踏運動・ジストニア・固定姿勢保持困難・アテトーシス・チック）,,,,,,,不随意運動（ミオクローヌス・舞踏運動・ジストニア・固定姿勢保持困難・アテトーシス・チック）,D-02-03-04-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
