"番号","章番号","章","大項目番号","大項目","中項目番号","中項目","小項目番号","小項目","再掲","備考","Ａ","Ｂ","Ｃ","削除","KW計","H17","H21","H25","H30","患者調査による頻度"
"158","Ⅲ","皮膚・頭頸部","１","炎症性皮膚疾患","Ｇ","移植片対宿主病<GVHD>","中","移植片対宿主病<GVHD>","","","0","0","5","0","7","1","4","1","1","0"
"159","Ⅲ","皮膚・頭頸部","１","炎症性皮膚疾患","Ｈ","好中球性皮膚症","①","Sweet病","","","0","1","4","0","4","4","","","","0"
"160","Ⅲ","皮膚・頭頸部","１","炎症性皮膚疾患","Ｈ","好中球性皮膚症","②","壊疽性膿皮症","","","0","1","4","0","3","","1","2","","1"
"161","Ⅲ","皮膚・頭頸部","１","炎症性皮膚疾患","Ｉ","皮膚血流障害","①","網状皮斑","","リベド","1","3","1","0","0","","","","","0"
"162","Ⅲ","皮膚・頭頸部","１","炎症性皮膚疾患","Ｉ","皮膚血流障害","②","血栓性静脈炎","","","4","2","0","0","3","","","2","1","0"
"163","Ⅲ","皮膚・頭頸部","２","腫瘍・母斑性皮膚疾患","Ａ","母斑","①","脂腺母斑、表皮母斑、色素性母斑、太田母斑","","","0","5","1","0","5","2","1","1","1","0"
"164","Ⅲ","皮膚・頭頸部","２","腫瘍・母斑性皮膚疾患","Ｂ","母斑症","①","神経線維腫症１型 <von Recklinghausen病>","1199","café au lait斑","0","3","3","0","3","2","","1","","0"
"165","Ⅲ","皮膚・頭頸部","２","腫瘍・母斑性皮膚疾患","Ｂ","母斑症","②","結節性硬化症","1200","","1","3","2","0","6","1","","3","2","1"
"166","Ⅲ","皮膚・頭頸部","２","腫瘍・母斑性皮膚疾患","Ｃ","血管腫","①","毛細血管奇形<単純性血管腫>","","","1","2","3","0","0","","","","","0"
"167","Ⅲ","皮膚・頭頸部","２","腫瘍・母斑性皮膚疾患","Ｃ","血管腫","②","幼児血管腫<イチゴ状血管腫>","","","1","2","3","0","0","","","","","0"
"168","Ⅲ","皮膚・頭頸部","２","腫瘍・母斑性皮膚疾患","Ｃ","血管腫","③","Kasabach-Merritt症候群","","","0","3","3","0","2","","1","1","","0"
"169","Ⅲ","皮膚・頭頸部","２","腫瘍・母斑性皮膚疾患","Ｃ","血管腫","④","静脈奇形<海綿状血管腫>","","","0","2","4","0","0","","","","","1"
"170","Ⅲ","皮膚・頭頸部","２","腫瘍・母斑性皮膚疾患","Ｄ","リンパ管腫","中","リンパ管腫","370","","1","3","2","0","2","2","","","","12"
"171","Ⅲ","皮膚・頭頸部","２","腫瘍・母斑性皮膚疾患","Ｅ","皮膚良性腫瘍","①","脂漏性角化症","","Leser-Trélat徴候","1","2","3","0","0","","","","","34"
"172","Ⅲ","皮膚・頭頸部","２","腫瘍・母斑性皮膚疾患","Ｅ","皮膚良性腫瘍","②","粉瘤","","","3","1","1","0","2","","","2","","0"
"173","Ⅲ","皮膚・頭頸部","２","腫瘍・母斑性皮膚疾患","Ｅ","皮膚良性腫瘍","③","ケラトアカントーマ","","","0","3","2","0","1","","","","1","0"
"174","Ⅲ","皮膚・頭頸部","２","腫瘍・母斑性皮膚疾患","Ｅ","皮膚良性腫瘍","④","皮膚線維腫","","","0","2","4","0","0","","","","","0"
"175","Ⅲ","皮膚・頭頸部","２","腫瘍・母斑性皮膚疾患","Ｅ","皮膚良性腫瘍","⑤","ケロイド","","","2","3","1","0","1","","1","","","0"
"176","Ⅲ","皮膚・頭頸部","２","腫瘍・母斑性皮膚疾患","Ｅ","皮膚良性腫瘍","⑥","毛細血管拡張性肉芽腫","","","0","1","4","1","0","","","","","0"
"177","Ⅲ","皮膚・頭頸部","２","腫瘍・母斑性皮膚疾患","Ｅ","皮膚良性腫瘍","⑦","グロムス腫瘍","1145","","0","1","4","1","0","","","","","0"
"178","Ⅲ","皮膚・頭頸部","２","腫瘍・母斑性皮膚疾患","Ｅ","皮膚良性腫瘍","⑧","色素性蕁麻疹","","","0","1","5","0","3","","1","","2","0"
"179","Ⅲ","皮膚・頭頸部","２","腫瘍・母斑性皮膚疾患","Ｆ","皮膚悪性腫瘍","①","日光角化症<老人性角化症>","","","0","3","3","0","1","","","","1","7"
"180","Ⅲ","皮膚・頭頸部","２","腫瘍・母斑性皮膚疾患","Ｆ","皮膚悪性腫瘍","②","乳房外Paget病","","","0","2","4","0","1","","","1","","0"
"181","Ⅲ","皮膚・頭頸部","２","腫瘍・母斑性皮膚疾患","Ｆ","皮膚悪性腫瘍","③","Bowen病","882","","0","4","2","0","6","2","1","2","1","0"
"182","Ⅲ","皮膚・頭頸部","２","腫瘍・母斑性皮膚疾患","Ｆ","皮膚悪性腫瘍","④","有棘細胞癌","","","1","4","1","0","5","","3","1","1","0"
"183","Ⅲ","皮膚・頭頸部","２","腫瘍・母斑性皮膚疾患","Ｆ","皮膚悪性腫瘍","⑤","基底細胞癌","","","2","3","1","0","1","","","1","","0"
"184","Ⅲ","皮膚・頭頸部","２","腫瘍・母斑性皮膚疾患","Ｆ","皮膚悪性腫瘍","⑥","血管肉腫","","","0","1","5","0","3","1","","1","1","0"
"185","Ⅲ","皮膚・頭頸部","２","腫瘍・母斑性皮膚疾患","Ｆ","皮膚悪性腫瘍","⑦","悪性黒色腫","","","3","2","1","0","7","5","","2","","5"
"186","Ⅲ","皮膚・頭頸部","２","腫瘍・母斑性皮膚疾患","Ｆ","皮膚悪性腫瘍","⑧","Kaposi肉腫","","","1","2","3","0","2","","1","","1","0"
"187","Ⅲ","皮膚・頭頸部","２","腫瘍・母斑性皮膚疾患","Ｇ","皮膚悪性リンパ腫","①","菌状息肉症","1493","","0","3","3","0","1","","","1","","2"
"188","Ⅲ","皮膚・頭頸部","２","腫瘍・母斑性皮膚疾患","Ｇ","皮膚悪性リンパ腫","②","Sézary症候群","751","","0","3","3","0","0","","","","","0"
"189","Ⅲ","皮膚・頭頸部","３","その他の皮膚疾患","Ａ","遺伝性水疱症","①","先天性表皮水疱症","","","0","1","4","0","0","","","","","0"
"190","Ⅲ","皮膚・頭頸部","３","その他の皮膚疾患","Ｂ","後天性水疱症","①","天疱瘡","","Nikolsky現象","2","2","1","0","3","1","","2","","20"
"191","Ⅲ","皮膚・頭頸部","３","その他の皮膚疾患","Ｂ","後天性水疱症","②","水疱性類天疱瘡","","","1","3","1","0","5","","1","3","1","11"
"192","Ⅲ","皮膚・頭頸部","３","その他の皮膚疾患","Ｂ","後天性水疱症","③","疱疹状皮膚炎、後天性表皮水疱症","","","0","2","4","0","5","","1","4","","0"
"193","Ⅲ","皮膚・頭頸部","３","その他の皮膚疾患","Ｃ","遺伝性角化症","①","魚鱗癬","","","0","4","2","0","1","","","1","","0"
"194","Ⅲ","皮膚・頭頸部","３","その他の皮膚疾患","Ｃ","遺伝性角化症","②","掌蹠角化症","","","0","3","2","0","0","","","","","0"
"195","Ⅲ","皮膚・頭頸部","３","その他の皮膚疾患","Ｃ","遺伝性角化症","③","Darier病","","","0","3","2","0","2","","1","","1","0"
"196","Ⅲ","皮膚・頭頸部","３","その他の皮膚疾患","Ｃ","遺伝性角化症","④","汗孔角化症","","","0","0","6","0","0","","","","","0"
"197","Ⅲ","皮膚・頭頸部","３","その他の皮膚疾患","Ｄ","炎症性角化症","①","乾癬","","Auspitz現象、Köbner現象","2","3","1","0","8","3","1","3","1","85"
"198","Ⅲ","皮膚・頭頸部","３","その他の皮膚疾患","Ｄ","炎症性角化症","②","類乾癬","","","0","0","6","0","0","","","","","0"
"199","Ⅲ","皮膚・頭頸部","３","その他の皮膚疾患","Ｄ","炎症性角化症","③","扁平苔癬","","","0","3","2","0","4","2","1","","1","0"
"200","Ⅲ","皮膚・頭頸部","３","その他の皮膚疾患","Ｄ","炎症性角化症","④","Gibertばら色粃糠疹","","","2","2","2","0","0","","","","","1"
"201","Ⅲ","皮膚・頭頸部","３","その他の皮膚疾患","Ｅ","膿疱症","①","膿疱性乾癬","","","0","3","2","0","0","","","","","0"
"202","Ⅲ","皮膚・頭頸部","３","その他の皮膚疾患","Ｅ","膿疱症","②","掌蹠膿疱症","","","0","6","0","0","3","1","","2","","0"
"203","Ⅲ","皮膚・頭頸部","３","その他の皮膚疾患","Ｆ","光線過敏症","①","慢性光線性皮膚炎","","ペラグラ","0","3","3","0","4","1","1","2","","0"
"204","Ⅲ","皮膚・頭頸部","３","その他の皮膚疾患","Ｇ","色素異常症","①","尋常性白斑","","","1","3","2","0","0","","","","","0"
"205","Ⅲ","皮膚・頭頸部","３","その他の皮膚疾患","Ｈ","遺伝性皮膚疾患","①","Werner症候群","","","0","2","4","0","0","","","","","0"
"206","Ⅲ","皮膚・頭頸部","３","その他の皮膚疾患","Ｈ","遺伝性皮膚疾患","②","色素性乾皮症","","","0","3","3","0","1","","","1","","0"
"207","Ⅲ","皮膚・頭頸部","３","その他の皮膚疾患","Ｉ","発汗異常症","①","汗疹、多汗症、無汗症","","","3","2","1","0","2","","","","2","汗疹4、多汗症 0、無汗症0"
"207.5","Ⅲ","皮膚・頭頸部","３","その他の皮膚疾患","Ｊ","細菌感染症","KW","細菌感染症","","","0","0","0","0","6","3","1","2","","0"
"208","Ⅲ","皮膚・頭頸部","３","その他の皮膚疾患","Ｊ","細菌感染症","①","せつ、癰","","","3","2","1","0","0","","","","","14"
"209","Ⅲ","皮膚・頭頸部","３","その他の皮膚疾患","Ｊ","細菌感染症","②","蜂巣炎<蜂窩織炎>","","","4","1","1","0","1","","1","","","39"
"210","Ⅲ","皮膚・頭頸部","３","その他の皮膚疾患","Ｊ","細菌感染症","③","ひょう疽","","","3","2","1","0","0","","","","","0"
"211","Ⅲ","皮膚・頭頸部","３","その他の皮膚疾患","Ｊ","細菌感染症","④","丹毒","","","3","2","1","0","4","","2","2","","1"
"212","Ⅲ","皮膚・頭頸部","３","その他の皮膚疾患","Ｊ","細菌感染症","⑤","伝染性膿痂疹","","","4","1","1","0","3","2","","1","","21"
"213","Ⅲ","皮膚・頭頸部","３","その他の皮膚疾患","Ｊ","細菌感染症","⑥","ブドウ球菌性熱傷様皮膚症候群","","","4","1","1","0","4","2","","1","1","0"
"214","Ⅲ","皮膚・頭頸部","３","その他の皮膚疾患","Ｊ","細菌感染症","⑦","壊死性筋膜炎","","劇症型Ａ群β溶連菌感染症、
Vibrio vulnificus","3","1","1","0","1","","","1","","0"
"215","Ⅲ","皮膚・頭頸部","３","その他の皮膚疾患","Ｊ","細菌感染症","⑧","ガス壊疽","1443","","0","3","2","0","9","1","3","4","1","0"
"216","Ⅲ","皮膚・頭頸部","３","その他の皮膚疾患","Ｋ","皮膚抗酸菌症","①","尋常性狼瘡","","","0","0","6","0","1","","","1","","円形脱毛症41"
"217","Ⅲ","皮膚・頭頸部","３","その他の皮膚疾患","Ｋ","皮膚抗酸菌症","②","皮膚腺病","","","0","0","2","4","0","","","","","0"
"218","Ⅲ","皮膚・頭頸部","３","その他の皮膚疾患","Ｋ","皮膚抗酸菌症","③","硬結性紅斑","","","0","0","3","3","0","","","","","0"
"219","Ⅲ","皮膚・頭頸部","３","その他の皮膚疾患","Ｋ","皮膚抗酸菌症","④","非結核性抗酸菌症","404, 1451","","1","3","2","0","5","1","1","2","1","0"
"220","Ⅲ","皮膚・頭頸部","３","その他の皮膚疾患","Ｌ","皮膚真菌症","①","白癬、カンジダ症","1456","Celsus禿瘡","4","1","1","0","9","1","3","3","2","350"
"221","Ⅲ","皮膚・頭頸部","３","その他の皮膚疾患","Ｌ","皮膚真菌症","②","癜風","1457","","0","6","0","0","1","1","","","","4"
"222","Ⅲ","皮膚・頭頸部","３","その他の皮膚疾患","Ｌ","皮膚真菌症","③","スポロトリコーシス","1458","","1","3","1","0","0","","","","","0"
"223","Ⅲ","皮膚・頭頸部","３","その他の皮膚疾患","Ｍ","動物性皮膚疾患","①","疥癬","","","3","1","1","0","4","","1","1","2","5"
"224","Ⅲ","皮膚・頭頸部","３","その他の皮膚疾患","Ｎ","痤瘡","①","尋常性痤瘡、酒皶様皮膚炎","","","4","1","1","0","0","","","","","0"
"225","Ⅲ","皮膚・頭頸部","３","その他の皮膚疾患","Ｏ","脱毛症","①","円形脱毛症、男性型脱毛症","","抜毛症","4","1","1","0","3","","","2","1","円形脱毛症41"
"226","Ⅲ","皮膚・頭頸部","３","その他の皮膚疾患","Ｐ","肉芽腫症","①","環状肉芽腫","","","0","0","6","0","1","","","","1","0"
"227","Ⅲ","皮膚・頭頸部","３","その他の皮膚疾患","Ｑ","ムチン沈着症","①","脛骨前粘液水腫","","","0","0","5","1","0","","","","","0"
"228","Ⅲ","皮膚・頭頸部","３","その他の皮膚疾患","Ｑ","ムチン沈着症","②","糖尿病性浮腫性硬化症","","","0","3","1","1","0","","","","","0"
"228.5","Ⅲ","皮膚・頭頸部","４","視機能異常、視神経疾","Ａ","視機能異常","KW","視野異常、視野障害、視力障害、視力低下","","","0","0","0","0","14","3","8","2","1","0"
"229","Ⅲ","皮膚・頭頸部","４","視機能異常、視神経疾患","Ａ","視機能異常","①","弱視","","","2","2","1","0","5","2","1","1","1","41"
"230","Ⅲ","皮膚・頭頸部","４","視機能異常、視神経疾患","Ａ","視機能異常","②","色覚異常","","","2","3","1","0","0","","","","","0"
"231","Ⅲ","皮膚・頭頸部","４","視機能異常、視神経疾患","Ａ","視機能異常","③","屈折異常","","","4","2","0","0","4","","1","2","1","304"
"232","Ⅲ","皮膚・頭頸部","４","視機能異常、視神経疾患","Ａ","視機能異常","④","調節異常","","","3","2","1","0","0","","","","","10"
"233","Ⅲ","皮膚・頭頸部","４","視機能異常、視神経疾患","Ｂ","視神経疾患","①","視神経炎・症","","","1","3","1","0","3","1","2","","","3"
"234","Ⅲ","皮膚・頭頸部","４","視機能異常、視神経疾患","Ｂ","視神経疾患","②","視神経萎縮","","","0","3","2","1","0","","","","","12"
"235","Ⅲ","皮膚・頭頸部","４","視機能異常、視神経疾患","Ｂ","視神経疾患","③","うっ血乳頭","","","3","2","1","0","3","1","","1","1","0"
"235.5","Ⅲ","皮膚・頭頸部","４","視機能異常、視神経疾","Ｃ","眼位・眼球運動障害","KW","眼球運動障害","","","0","0","0","0","5","","2","3","","0"
"236","Ⅲ","皮膚・頭頸部","４","視機能異常、視神経疾患","Ｃ","眼位・眼球運動障害","①","斜視、斜位","","","3","2","1","0","7","2","","2","3","42"
"237","Ⅲ","皮膚・頭頸部","４","視機能異常、視神経疾患","Ｃ","眼位・眼球運動障害","②","眼筋麻痺","","","1","3","1","0","1","","","","1","5"
"238","Ⅲ","皮膚・頭頸部","４","視機能異常、視神経疾患","Ｃ","眼位・眼球運動障害","③","動眼神経麻痺","","","0","5","1","0","13","4","4","3","2","1"
"239","Ⅲ","皮膚・頭頸部","４","視機能異常、視神経疾患","Ｃ","眼位・眼球運動障害","④","滑車神経麻痺","","","1","3","1","0","0","","","","","1"
"240","Ⅲ","皮膚・頭頸部","４","視機能異常、視神経疾患","Ｃ","眼位・眼球運動障害","⑤","外転神経麻痺","","","1","3","1","0","3","","1","1","1","1"
"241","Ⅲ","皮膚・頭頸部","５","眼窩・ 外眼部・前眼部・眼球の疾患","Ａ","眼窩の異常","①","眼窩腫瘍","","","1","2","2","0","1","","","","1","0"
"242","Ⅲ","皮膚・頭頸部","５","眼窩・ 外眼部・前眼部・眼球の疾患","Ａ","眼窩の異常","②","眼球突出","","","2","3","1","0","2","","1","","1","0"
